epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.743,1.60954,2.93655,1.82048,0.46983,0.66032,0.43755,0.21536,1.53805,2.27649,1.6624,0.00055521,0.00055521,0.00055521
2,425.874,1.60889,2.46664,1.77377,0.4247,0.66074,0.42238,0.24109,1.46338,2.08216,1.642,0.00108888,0.00108888,0.00108888
3,647.962,1.58926,2.25246,1.75227,0.44974,0.7518,0.52706,0.31149,1.39141,1.6886,1.57014,0.00160055,0.00160055,0.00160055
4,865.504,1.5111,2.04125,1.67378,0.4736,0.64315,0.48212,0.30154,1.4349,1.72701,1.61675,0.00156798,0.00156798,0.00156798
