epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4008.69,0.9855,0.96757,1.12415,0.57143,1,0.995,0.87884,0.58401,1.99277,0.88988,0.0007921,0.0007921,0.0007921
44,4042.27,0.99938,0.92415,1.126,1,0.87422,0.995,0.82439,0.72798,1.10015,0.91563,0.00078715,0.00078715,0.00078715
45,4075.86,0.95859,0.87913,1.10505,1,0.62453,0.995,0.85943,0.63823,1.68372,0.88669,0.0007822,0.0007822,0.0007822
46,4109.56,0.99968,0.88837,1.12113,0.96018,1,0.995,0.83971,0.63851,1.24147,0.88259,0.00077725,0.00077725,0.00077725
47,4143.21,1.04127,0.95564,1.1463,0.96179,1,0.995,0.74155,0.86205,1.07316,0.98216,0.0007723,0.0007723,0.0007723
48,4177.31,0.98826,0.91491,1.12534,1,0.98769,0.995,0.80371,0.69806,1.3951,0.90655,0.00076735,0.00076735,0.00076735
49,4211.35,0.95131,0.89098,1.11591,0.99973,0.75,0.95475,0.76909,0.70567,1.79508,0.89999,0.0007624,0.0007624,0.0007624
50,4245.49,0.97458,0.86721,1.11595,1,0.62138,0.96722,0.82716,0.68198,1.68431,0.88636,0.00075745,0.00075745,0.00075745
51,4279.59,0.97033,0.87143,1.1256,1,0.62206,0.95389,0.73252,0.91681,1.82237,0.9886,0.0007525,0.0007525,0.0007525
52,4313.54,0.984,0.8939,1.13699,0.80633,0.5,0.9235,0.73132,0.84022,1.8203,0.96647,0.00074755,0.00074755,0.00074755
53,4347.4,0.9713,0.95262,1.11843,0.84798,1,0.98167,0.66185,1.12894,1.04293,1.1148,0.0007426,0.0007426,0.0007426
54,4381.31,0.96483,0.89485,1.10793,1,0.61541,0.995,0.77476,0.87335,1.91805,0.97326,0.00073765,0.00073765,0.00073765
