epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1577.51,1.07674,0.74641,1.30852,0.93281,0.91795,0.9678,0.56472,1.40557,0.65887,1.56038,0.00132868,0.00132868,0.00132868
43,1610.16,1.06688,0.71249,1.29696,1,0.84904,0.97123,0.62846,1.20897,0.62576,1.36117,0.00132043,0.00132043,0.00132043
44,1652.15,1.08032,0.72679,1.30843,1,0.91577,0.98907,0.65273,1.16686,0.57684,1.31747,0.00131218,0.00131218,0.00131218
45,1688.13,1.05243,0.69197,1.29081,0.97882,0.89256,0.95062,0.64945,1.18435,0.64208,1.35463,0.00130393,0.00130393,0.00130393
46,1723.14,1.02774,0.66736,1.27633,0.95431,0.93388,0.96778,0.65466,1.1607,0.54572,1.3515,0.00129568,0.00129568,0.00129568
47,1757.4,1.01912,0.66766,1.26872,0.98186,0.89467,0.94786,0.59642,1.30051,0.66272,1.46669,0.00128742,0.00128742,0.00128742
48,1799.49,1.02166,0.67225,1.27178,0.97336,0.87603,0.96341,0.64137,1.19831,0.60769,1.37247,0.00127917,0.00127917,0.00127917
49,1836.65,1.00018,0.67356,1.26731,0.99597,0.90083,0.97087,0.67071,1.09072,0.55718,1.29446,0.00127092,0.00127092,0.00127092
50,1879.08,0.99413,0.65928,1.24796,0.98259,0.93302,0.98659,0.6789,1.09722,0.54321,1.29403,0.00126267,0.00126267,0.00126267
51,1911.43,1.0194,0.6685,1.27653,0.98805,0.8843,0.96489,0.68863,1.08535,0.58616,1.3169,0.00125442,0.00125442,0.00125442
52,1950,1.00211,0.65304,1.25256,0.94842,0.94215,0.96984,0.65545,1.14508,0.59935,1.33548,0.00124617,0.00124617,0.00124617
53,1983.98,1.00305,0.68371,1.25924,0.981,0.92562,0.9735,0.65924,1.18591,0.58307,1.37827,0.00123791,0.00123791,0.00123791
54,2031.36,1.02024,0.69522,1.27235,0.98738,0.87603,0.95795,0.61713,1.17622,0.62522,1.34039,0.00122966,0.00122966,0.00122966
55,2064.13,0.96915,0.61797,1.2312,0.98228,0.91617,0.96874,0.64315,1.15661,0.56791,1.36242,0.00122141,0.00122141,0.00122141
56,2104.72,0.95595,0.61434,1.21681,0.98606,0.91736,0.96557,0.66718,1.07915,0.53201,1.29136,0.00121316,0.00121316,0.00121316
57,2140.65,0.95377,0.63844,1.23064,0.92736,0.90909,0.94936,0.65838,1.13074,0.57811,1.36508,0.00120491,0.00120491,0.00120491
58,2187.06,1.00069,0.65243,1.2594,0.96503,0.94215,0.96441,0.67356,1.08392,0.54857,1.30095,0.00119666,0.00119666,0.00119666
59,2213.9,0.94584,0.62951,1.22786,0.97839,0.95868,0.98865,0.66374,1.17425,0.52971,1.38484,0.0011884,0.0011884,0.0011884
60,2257.33,0.96518,0.65151,1.23375,0.98244,0.92496,0.97546,0.64751,1.20396,0.53307,1.38023,0.00118015,0.00118015,0.00118015
61,2296.56,0.94745,0.6169,1.21681,0.97417,0.93524,0.98243,0.64662,1.19798,0.539,1.37212,0.0011719,0.0011719,0.0011719
62,2327.39,0.96694,0.6336,1.22895,1,0.92109,0.97301,0.67481,1.12939,0.5097,1.30982,0.00116365,0.00116365,0.00116365
63,2361.15,0.95592,0.61388,1.22761,0.97411,0.93287,0.98352,0.69014,1.10183,0.5027,1.31677,0.0011554,0.0011554,0.0011554
